word	weight
aang	0
abang	0
abdul	0
abdullah	0
abdurrahman	0
abidzar	0
abstain	0
acara	0
aceh	0
achmad	0
ad	0
adakan	0
adalah	0
adanya	0
adapun	0
adat	0
adem	0
adhi	0
adhoc	0
adhy	0
adinawawi	0
aditya	0
administrasi	0
adopsi	0
aduan	0
afifuddin	0
agenda	0
agendakan	0
agent	0
agt	0
agung	0
agus	0
agustus	0
ahli	0
ahmad	0
ahok	0
ahokanis	0
ahokrano	0
ahy	0
ai	0
aiptu	0
airin	0
airlangga	0
ajaran	0
ajukan	0
aka	0
akab	0
akademika	0
akademisi	0
akan	0
akankah	0
akbar	0
akbp	0
akhir	0
akhirnya	0
akn	0
akp	0
aksara	0
aktivitas	0
akun	0
akurat	0
al	0
ala	0
alasan	0
alasannya	0
alat	0
ali	0
alias	0
aliyanto	0
all	0
almatsus	0
alokasi	0
alon	0
alunalun	0
alutsista	0
aman	0
amanat	0
amanatnya	0
amankan	0
ambang	0
amp	0
ampbali	0
amperawati	0
ampp	0
an	0
anakanak	0
analisa	0
anas	0
and	0
andalan	0
andhika	0
andi	0
andik	0
andika	0
andriansyah	0
anggaran	0
anggotanya	0
anggraeni	0
angin	0
angka	0
angkringan	0
angkutan	0
anies	0
aniesahok	0
anik	0
anjani	0
ann	0
anna	0
anniversary	0
ansor	0
ansori	0
antar	0
antara	0
antarane	0
antaranya	0
antarpasangan	0
antikorupsi	0
antok	0
antre	0
anulir	0
anwar	0
anyaman	0
apabila	0
apakah	0
apalagi	0
apapun	0
aparatur	0
apbd	0
apel	0
apk	0
apkbk	0
apologize	0
apresiasi	0
aproach	0
aps	0
aqil	0
ar	0
arahannya	0
arahnnya	0
arci	0
area	0
arek	0
areks	0
arena	0
ari	0
arifin	0
aris	0
ariyanto	0
arm	0
armuji	0
arogansi	0
artinya	0
arumi	0
arus	0
arya	0
asad	0
asalasalan	0
asep	0
asia	0
asistensi	0
aslinya	0
asn	0
asnawi	0
aspal	0
aspirasi	0
asrori	0
aston	0
asuhan	0
asumta	0
asyik	0
at	0
atau	0
ataupun	0
atlet	0
atletico	0
aturan	0
audiensi	0
auditorium	0
aula	0
aunul	0
australia	0
awak	0
awali	0
awan	0
awasi	0
awokawok	0
aws	0
ayah	0
aye	0
ayem	0
ayoo	0
azah	0
azhar	0
azizah	0
azwar	0
baay	0
babel	0
babinsa	0
babussalam	0
bacabup	0
bacabupbacawabup	0
bacagub	0
bacakada	0
bacal	0
bacalon	0
bacawabup	0
bacawagub	0
bacawali	0
back	0
bagaimana	0
bagibagi	0
bagikan	0
bago	0
bagong	0
baharkam	0
bahkan	0
bahlil	0
bahrain	0
bahwa	0
bakal	0
bakalan	0
