tokens_stemmed,bobot_nilai_total,label
"['rocky', 'gerung', 'oligarki']",0,netral
"['kpu', 'kota', 'probolinggo', 'gelar', 'debat', 'publik', 'tiga', 'pilih', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo', 'kamis']",0,netral
"['urban', 'festival', 'lho', 'seruseruan']",0,netral
"['semanggi', 'suroboyo', 'bikin', 'suasana', 'pecah']",4,positif
"['jumat', 'nov', 'tulis', 'kalender', 'tinggal']",0,netral
"['sabar', 'ngegas', 'bareng', 'dbl', 'arena']",5,positif
"['respons', 'insiden', 'heraldha', 'jaga', 'suasana', 'kampanye', 'damai', 'kondusif', 'imbau', 'masyarakat', 'sikap', 'positif', 'proses', 'demokrasi']",13,positif
"['juru', 'bicara', 'muda', 'pasang', 'calon', 'pilgub', 'jatim', 'nomor', 'urut', 'khofifah', 'indar', 'parawansaemil', 'elestianto', 'dardak', 'heraldha', 'savira', 'tanggap', 'lapor', 'aksi', 'vandalisme', 'atribut', 'kampanye']",9,positif
"['juru', 'bicara', 'muda', 'pasang', 'calon', 'pilgub', 'jatim', 'nomor', 'urut', 'khofifah', 'indar', 'parawansaemil', 'elestianto', 'dardak', 'heraldha', 'savira', 'tanggap', 'lapor', 'aksi', 'vandalisme', 'atribut', 'kampanye']",9,positif
"['juru', 'bicara', 'muda', 'pasang', 'calon', 'pilgub', 'jatim', 'nomor', 'urut', 'khofifah', 'indar', 'parawansaemil', 'elestianto', 'dardak', 'heraldha', 'savira', 'tanggap', 'lapor', 'aksi', 'vandalisme', 'atribut', 'kampanye']",9,positif
"['direktur', 'eksekutif', 'poltracking', 'indonesia', 'hanta', 'yuda', 'ar', 'prediksi', 'paslon', 'khofifahemil', 'menang', 'pilgub', 'jatim', 'oleh', 'kisar', 'persen', 'kutip', 'youtube', 'poltracking']",6,positif
"['pasang', 'khofifah', 'indar', 'parawansa', 'emil', 'dardak', 'peluang', 'menang', 'pilgubjawa', 'timur', 'khofifah', 'lawan', 'eks', 'menteri', 'sosial', 'risma', 'eks', 'anggota', 'dpr', 'ri', 'luluk']",-5,negatif
