tokens_stemmed,bobot_nilai_total,label,tokens_stemmed_string,Prediksi_Naive_Bayes,Probabilitas_NB,Prediksi_Logistic_Regression,Probabilitas_LR
"['rocky', 'gerung', 'oligarki']",0,netral,rocky gerung oligarki,negatif,48.08%,positif,36.33%
"['kpu', 'kota', 'probolinggo', 'gelar', 'debat', 'publik', 'tiga', 'pilih', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo', 'kamis']",0,netral,kpu kota probolinggo gelar debat publik tiga pilih wali kota wakil wali kota probolinggo kamis,positif,48.16%,netral,49.36%
"['urban', 'festival', 'lho', 'seruseruan']",0,netral,urban festival lho seruseruan,negatif,48.08%,positif,36.33%
"['semanggi', 'suroboyo', 'bikin', 'suasana', 'pecah']",4,positif,semanggi suroboyo bikin suasana pecah,negatif,55.35%,negatif,41.51%
"['jumat', 'nov', 'tulis', 'kalender', 'tinggal']",0,netral,jumat nov tulis kalender tinggal,negatif,46.88%,netral,47.66%
"['sabar', 'ngegas', 'bareng', 'dbl', 'arena']",5,positif,sabar ngegas bareng dbl arena,positif,65.24%,positif,55.96%
"['respons', 'insiden', 'heraldha', 'jaga', 'suasana', 'kampanye', 'damai', 'kondusif', 'imbau', 'masyarakat', 'sikap', 'positif', 'proses', 'demokrasi']",13,positif,respons insiden heraldha jaga suasana kampanye damai kondusif imbau masyarakat sikap positif proses demokrasi,positif,72.97%,positif,61.02%
"['juru', 'bicara', 'muda', 'pasang', 'calon', 'pilgub', 'jatim', 'nomor', 'urut', 'khofifah', 'indar', 'parawansaemil', 'elestianto', 'dardak', 'heraldha', 'savira', 'tanggap', 'lapor', 'aksi', 'vandalisme', 'atribut', 'kampanye']",9,positif,juru bicara muda pasang calon pilgub jatim nomor urut khofifah indar parawansaemil elestianto dardak heraldha savira tanggap lapor aksi vandalisme atribut kampanye,positif,82.57%,positif,62.63%
"['juru', 'bicara', 'muda', 'pasang', 'calon', 'pilgub', 'jatim', 'nomor', 'urut', 'khofifah', 'indar', 'parawansaemil', 'elestianto', 'dardak', 'heraldha', 'savira', 'tanggap', 'lapor', 'aksi', 'vandalisme', 'atribut', 'kampanye']",9,positif,juru bicara muda pasang calon pilgub jatim nomor urut khofifah indar parawansaemil elestianto dardak heraldha savira tanggap lapor aksi vandalisme atribut kampanye,positif,82.57%,positif,62.63%
"['juru', 'bicara', 'muda', 'pasang', 'calon', 'pilgub', 'jatim', 'nomor', 'urut', 'khofifah', 'indar', 'parawansaemil', 'elestianto', 'dardak', 'heraldha', 'savira', 'tanggap', 'lapor', 'aksi', 'vandalisme', 'atribut', 'kampanye']",9,positif,juru bicara muda pasang calon pilgub jatim nomor urut khofifah indar parawansaemil elestianto dardak heraldha savira tanggap lapor aksi vandalisme atribut kampanye,positif,82.57%,positif,62.63%
