Unnamed: 0,tokens_stemmed,bobot_nilai_total,label,Prediksi_Naive_Bayes,Prediksi_Logistic_Regression
0,"['rocky', 'gerung', 'oligarki']",0,netral,negatif,positif
1,"['kpu', 'kota', 'probolinggo', 'gelar', 'debat', 'publik', 'tiga', 'pilih', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo', 'kamis']",0,netral,positif,netral
2,"['urban', 'festival', 'lho', 'seruseruan']",0,netral,negatif,positif
3,"['semanggi', 'suroboyo', 'bikin', 'suasana', 'pecah']",4,positif,negatif,negatif
4,"['jumat', 'nov', 'tulis', 'kalender', 'tinggal']",0,netral,negatif,netral
5,"['sabar', 'ngegas', 'bareng', 'dbl', 'arena']",5,positif,positif,positif
6,"['respons', 'insiden', 'heraldha', 'jaga', 'suasana', 'kampanye', 'damai', 'kondusif', 'imbau', 'masyarakat', 'sikap', 'positif', 'proses', 'demokrasi']",13,positif,positif,positif
7,"['juru', 'bicara', 'muda', 'pasang', 'calon', 'pilgub', 'jatim', 'nomor', 'urut', 'khofifah', 'indar', 'parawansaemil', 'elestianto', 'dardak', 'heraldha', 'savira', 'tanggap', 'lapor', 'aksi', 'vandalisme', 'atribut', 'kampanye']",9,positif,positif,positif
8,"['juru', 'bicara', 'muda', 'pasang', 'calon', 'pilgub', 'jatim', 'nomor', 'urut', 'khofifah', 'indar', 'parawansaemil', 'elestianto', 'dardak', 'heraldha', 'savira', 'tanggap', 'lapor', 'aksi', 'vandalisme', 'atribut', 'kampanye']",9,positif,positif,positif
9,"['juru', 'bicara', 'muda', 'pasang', 'calon', 'pilgub', 'jatim', 'nomor', 'urut', 'khofifah', 'indar', 'parawansaemil', 'elestianto', 'dardak', 'heraldha', 'savira', 'tanggap', 'lapor', 'aksi', 'vandalisme', 'atribut', 'kampanye']",9,positif,positif,positif
10,"['direktur', 'eksekutif', 'poltracking', 'indonesia', 'hanta', 'yuda', 'ar', 'prediksi', 'paslon', 'khofifahemil', 'menang', 'pilgub', 'jatim', 'oleh', 'kisar', 'persen', 'kutip', 'youtube', 'poltracking']",6,positif,negatif,positif
11,"['pasang', 'khofifah', 'indar', 'parawansa', 'emil', 'dardak', 'peluang', 'menang', 'pilgubjawa', 'timur', 'khofifah', 'lawan', 'eks', 'menteri', 'sosial', 'risma', 'eks', 'anggota', 'dpr', 'ri', 'luluk']",-5,negatif,negatif,negatif
12,"['direktur', 'eksekutif', 'poltracking', 'indonesia', 'hanta', 'yuda', 'ar', 'prediksi', 'paslon', 'khofifahemil', 'menang', 'pilgub', 'jatim', 'oleh', 'kisar', 'persen', 'kutip', 'youtube', 'poltracking']",6,positif,negatif,positif
13,"['pasang', 'khofifah', 'emil', 'peluang', 'menang', 'pilgub', 'jawa', 'timur', 'beliau', 'lawan', 'eks', 'menteri', 'sosial', 'risma', 'an', 'eks', 'anggota', 'dpr', 'ri', 'luluk']",-5,negatif,negatif,negatif
14,"['pasang', 'khofifah', 'indar', 'parawansa', 'emil', 'dardak', 'peluang', 'menang', 'pilih', 'gubernur', 'jawa', 'timur', 'khofifah', 'lawan', 'eks', 'menteri', 'sosial', 'tri', 'rismaharini', 'eks', 'anggota', 'dpr', 'ri', 'luluk', 'nur', 'hamidah']",-7,negatif,negatif,negatif
15,"['ribu', 'kerja', 'pt', 'integra', 'indocabinet', 'sambut', 'datang', 'calon', 'gubernur', 'jawa', 'timur', 'nomor', 'urut', 'khofifah', 'indar', 'parawansa', 'kawasan', 'sedat', 'sidoarjo', 'rabu', 'sore']",-3,negatif,negatif,positif
16,"['survei', 'poltracking', 'khofifahemil', 'peluang', 'menang', 'tebal', 'pilgub', 'jatim']",-1,negatif,negatif,negatif
17,"['survei', 'arci', 'khofifahemil', 'sapu', 'bersih', 'daerah', 'mataraman', 'rismagus', 'hans', 'susah', 'kerek']",-6,negatif,negatif,negatif
18,"['kpu', 'kota', 'probolinggo', 'gelar', 'media', 'gadthering', 'siap', 'debat', 'publik', 'tiga', 'pilih', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo', 'rabu']",1,positif,positif,netral
